term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
IH_lex	G#other_name	other	1	2	7.600902459542082	12.107806350720098	311.0740355720358	2.0	454.0	-0.0006260980850241182	0.0	0.0	0.6928962520805051
II-2_lex	G#cell_line	cell	1	3	7.600902459542082	11.702341242611933	inf	3.0	549.0	-0.0005047398658996061	0.0	0.0	1.0983613601886706
II_MHC_combined_immune_deficiency_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	141.0	-0.0003888979294655037	0.0005	0.0	-0.0002509284794403044
II_estrogen_binding_site_lex	G#protein_family_or_group	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	103.0	-0.00028408855840278413	0.0005	0.0	-0.0002509284794403044
II_receptor_lex	G#protein_family_or_group	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	152.0	-0.0004192374842444391	0.0005	0.0	-0.0002509284794403044
IIa_hyperlipidemia_lex	G#other_name	other	1	2	7.600902459542082	12.107806350720098	311.07403557203673	2.0	202.0	-0.00027857227571514986	0.0005	0.0	0.6928962520805051
IKB_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	160.0	-0.00044130261499442103	0.001	0.0005	-0.0002509284794403044
IKK-alpha/beta_heterodimer_lex	G#protein_complex	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	235.0	-0.000648163215773434	0.0	0.0005	-0.0002509284794403044
IKK-alpha_lex	G#protein_molecule	amino_acid	1	5	7.600902459542082	11.191515618845942	inf	5.0	1175.0	-0.000648163215773434	0.0005	0.0005	1.609186983954661
IKK-beta_activity_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	235.0	-0.000648163215773434	0.0005	0.0	-0.0002509284794403044
IKK-beta_lex	G#protein_molecule	amino_acid	1	5	7.600902459542082	11.191515618845942	inf	5.0	1175.0	-0.000648163215773434	0.0005	0.0005	1.609186983954661
IKK-gamma_lex	G#protein_molecule	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	235.0	-0.000648163215773434	0.0005	0.0005	-0.0002509284794403044
IKK1_lex	G#protein_molecule	amino_acid	1	4	7.600902459542082	11.414659170160153	inf	4.0	732.0	-0.000504739865899495	0.0005	0.0005	1.3860434326404505
IKK2_lex	G#protein_molecule	amino_acid	1	5	7.600902459542082	11.191515618845942	inf	5.0	915.0	-0.000504739865899495	0.0005	0.0005	1.609186983954661
IKK_activity_lex	G#other_name	other	2	2	6.907755278982137	12.107806350720098	0.688948203990155	1.0	209.0	-0.001152903081672929	0.001	0.001	-0.0005316994476203263
IKK_complex-associated_protein_lex	G#protein_molecule	amino_acid	1	2	7.600902459542082	12.107806350720098	311.07403557203673	2.0	470.0	-0.000648163215773434	0.0005	0.0005	0.6928962520805051
IKK_complex_lex	G#protein_complex	amino_acid	2	5	6.907755278982137	11.191515618845942	648.2708734563512	2.5	508.0	-0.0011501449403290565	0.001	0.001	0.9157590324265357
IKK_lex	G#protein_molecule	amino_acid	3	7	6.502290170873972	10.85504338222473	inf	2.3333333333333335	483.0	-0.0016686755129469155	0.0005	0.0005	0.8464900275930596
IKKalpha_lex	G#protein_molecule	amino_acid	2	9	6.907755278982137	10.603728953943824	inf	4.5	929.0	-0.0011142891028596003	0.0005	0.001	1.5035456973286543
IKKbeta_lex	G#protein_molecule	amino_acid	3	10	6.502290170873972	10.498368438285997	inf	3.3333333333333335	680.0	-0.0016162708274148896	0.0015	0.0015	1.203164971531793
IK_lex	G#protein_molecule	amino_acid	1	5	7.600902459542082	11.191515618845942	inf	5.0	750.0	-0.0004137212015572489	0.0	0.0005	1.609186983954661
