term	sem	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
hazard		8	9	5.233778845410465	10.360370762057936	18.185696362955696	1.125	261.375	-0.006624543529197946	0.0	0.0	0.11456083870081635
hazardous		5	5	5.703782474656201	10.948157426960055	0.6456976507009097	1.0	211.60000000000002	-0.003722128015875459	0.0	0.0	-0.0020067996534454124
hazards		2	2	6.620073206530356	11.864448158834211	0.6882992011353551	1.0	210.5	-0.0014811114316486407	0.0	0.0	-0.0007863968983841119
hazy		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	88.0	-0.0003095909880888037	0.0	0.0	-0.00037109537055890485
hb		2	9	6.620073206530356	10.360370762057936	inf	4.5	1372.5	-0.0018962448020389822	0.0	0.0	1.5032909998778905
hbeag_lex	chemical	5	12	5.703782474656201	10.072688689606156	595.3823910820387	2.4	547.8000000000001	-0.0038241523187682036	0.0033333333333333	0.0026666666666666	0.8734619377004531
hbig		3	8	6.214608098422191	10.47815379771432	inf	2.6666666666666665	532.6666666666666	-0.0020228956608019377	0.0	0.0	0.9796343704709383
hbmp		1	6	7.313220387090301	10.765835870166102	inf	6.0	1806.0	-0.0010589419024367164	0.0	0.0	1.7913883738574956
hbs_ag_lex	chemical	1	2	7.313220387090301	11.864448158834211	234.21759540318092	2.0	544.0	-0.0009569175995447488	0.0006666666666666	0.0006666666666666	0.6927760851893865
hbsag_lex	chemical	7	16	5.367310238034988	9.785006617154375	554.0025962102376	2.2857142857142856	538.7142857142857	-0.005949072282461443	0.0046666666666666	0.0046666666666666	0.8238614830962341
hbv		8	40	5.233778845410465	8.86871588528022	inf	5.0	1382.5	-0.007011532264307507	0.0	0.0	1.6062157154785321
hbv_infected_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	307.0	-0.001080050378897579	0.0006666666666666	0.0	-0.00037109537055890485
hbv_infection_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	287.0	-0.0010096887906965168	0.0006666666666666	0.0	-0.00037109537055890485
hbv_monoinfected_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	307.0	-0.001080050378897579	0.0006666666666666	0.0	-0.00037109537055890485
hbvdna		2	2	6.620073206530356	11.864448158834211	0.6882992011353551	1.0	214.0	-0.0015057379875196286	0.0	0.0	-0.0007863968983841119
hbvhiv		1	4	7.313220387090301	11.171300978274266	inf	4.0	1228.0	-0.001080050378897579	0.0	0.0	1.385923265749332
hbvrelated		2	3	6.620073206530356	11.458983050726047	120.36321673956823	1.5	314.5	-0.0015057379875194066	0.0	0.0	0.4046787112097796
hc1		1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	197.0	-0.0006930616437885728	0.0	0.0	-0.00037109537055890485
hc_lex	disease	1	4	7.313220387090301	11.171300978274266	inf	4.0	944.0	-0.0008302667407821263	0.0006666666666666	0.0	1.385923265749332
hca		1	3	7.313220387090301	11.458983050726047	680.5129885391034	3.0	921.0	-0.0010800503788981342	0.0	0.0	1.0982411932975502
hcbd_lex	chemical	1	3	7.313220387090301	11.458983050726047	680.5129885391038	3.0	588.0	-0.0006895435643788916	0.0006666666666666	0.0006666666666666	1.0982411932975502
hcfc_one		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	604.0	-0.0010624599818470637	0.0	0.0	0.6927760851893865
hcfcs		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	604.0	-0.0010624599818470637	0.0	0.0	0.6927760851893865
hcfcs_lex	chemical	1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	302.0	-0.0010624599818470637	0.0006666666666666	0.0	-0.00037109537055890485
hcl_lex	chemical	1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	216.0	-0.0007599051525798428	0.0006666666666666	0.0	-0.00037109537055890485
hcn		1	3	7.313220387090301	11.458983050726047	680.5129885391034	3.0	771.0	-0.0009041464083932027	0.0	0.0	1.0982411932975502
hcn4		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	257.0	-0.0009041464083932027	0.0	0.0	-0.00037109537055890485
hcrh		1	5	7.313220387090301	10.948157426960055	inf	5.0	975.0	-0.000686025484967212	0.0	0.0	1.6090668170635425
hctc_lex	chemical	1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	293.0	-0.0010307972671574905	0.0006666666666666	0.0	-0.00037109537055890485
